bucket,reason,source,path,size,mtime,ext,name
ARCHIVE,matches archive hint (old/legacy/backup/draft/wp-/v1/v2/plan/roadmap),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents_config.json.pre-migration-20260329-091759.bak,156517,2026-03-29T09:57:12,.bak,agents_config.json.pre-migration-20260329-091759.bak
ARCHIVE,matches archive hint (old/legacy/backup/draft/wp-/v1/v2/plan/roadmap),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\docker-compose.yml.backup.1777993792,3188,2026-05-04T13:38:42,.1777993792,docker-compose.yml.backup.1777993792
ARCHIVE,matches archive hint (old/legacy/backup/draft/wp-/v1/v2/plan/roadmap),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\IMPLEMENTATION-PLAN.md,38048,2026-05-05T08:13:02,.md,IMPLEMENTATION-PLAN.md
ARCHIVE,matches archive hint (old/legacy/backup/draft/wp-/v1/v2/plan/roadmap),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\OPENCLAW-PRODUCTION-PLAN.md,46432,2026-05-05T08:12:53,.md,OPENCLAW-PRODUCTION-PLAN.md
ARCHIVE,matches archive hint (old/legacy/backup/draft/wp-/v1/v2/plan/roadmap),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\openclaw.json.bak,60261,2026-04-08T16:54:03,.bak,openclaw.json.bak
ARCHIVE,matches archive hint (old/legacy/backup/draft/wp-/v1/v2/plan/roadmap),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\openclaw.json.bak.1,60261,2026-04-08T16:51:28,.1,openclaw.json.bak.1
ARCHIVE,matches archive hint (old/legacy/backup/draft/wp-/v1/v2/plan/roadmap),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\openclaw.json.bak.2,60106,2026-04-08T16:32:47,.2,openclaw.json.bak.2
ARCHIVE,matches archive hint (old/legacy/backup/draft/wp-/v1/v2/plan/roadmap),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\openclaw.json.bak.3,59917,2026-04-08T16:19:42,.3,openclaw.json.bak.3
ARCHIVE,matches archive hint (old/legacy/backup/draft/wp-/v1/v2/plan/roadmap),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\openclaw.json.bak.4,58709,2026-04-08T15:34:08,.4,openclaw.json.bak.4
ARCHIVE,matches archive hint (old/legacy/backup/draft/wp-/v1/v2/plan/roadmap),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\SCOPES-PLAN.md,14166,2026-03-26T16:42:44,.md,SCOPES-PLAN.md
ARCHIVE,matches archive hint (old/legacy/backup/draft/wp-/v1/v2/plan/roadmap),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\STRATEGIC-UPGRADE-PLAN.md,36722,2026-05-05T08:13:01,.md,STRATEGIC-UPGRADE-PLAN.md
ARCHIVE,log file older than 7 days,LOCAL,C:\Users\JeremiahVanWagner\.openclaw\stress-test-output.log,57516,2026-03-13T22:57:07,.log,stress-test-output.log
ARCHIVE,log file older than 7 days,LOCAL,C:\Users\JeremiahVanWagner\.openclaw\.openclaw-dev\logs\config-audit.jsonl,889,2026-03-01T23:28:34,.jsonl,config-audit.jsonl
ARCHIVE,agent session jsonl older than 30 days (46d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\d8_saas_director\sessions\0776976a-bead-4cad-b47a-735b2ff2b904.jsonl,398780,2026-03-19T14:11:52,.jsonl,0776976a-bead-4cad-b47a-735b2ff2b904.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\d8_saas_director\sessions\8d555550-579e-4633-a294-f99115b3c94c.jsonl,61480,2026-03-21T18:50:58,.jsonl,8d555550-579e-4633-a294-f99115b3c94c.jsonl
ARCHIVE,agent session jsonl older than 30 days (62d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\056dbdcd-b164-4fc3-bf82-246475cbd957.jsonl,328342,2026-03-03T14:05:40,.jsonl,056dbdcd-b164-4fc3-bf82-246475cbd957.jsonl
ARCHIVE,agent session jsonl older than 30 days (51d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\main\sessions\0685e2d8-3dcd-4cfc-9f64-0044c50dfa54.jsonl,713280,2026-03-15T05:47:41,.jsonl,0685e2d8-3dcd-4cfc-9f64-0044c50dfa54.jsonl
